hub,campus,operator,metric,value,unit,period,source_type,source_url,note
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),it_capacity_mw,889,MW,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,wholesale IDC capacity in service; 20-F does not break out Ulanqab or any campus
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),capacity_utilized_mw,623,MW,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,wholesale capacity utilized
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),utilisation_pct,70.1,%,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,wholesale utilization rate
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),committed_mw,848,MW,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,wholesale capacity committed (95.3% commitment rate)
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),under_construction_mw,452,MW,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,wholesale capacity under construction; 156 MW (34.5%) pre-committed
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),cabinets_in_service,49863,cabinets,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,retail IDC cabinets in service; utilization 64.0%
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),area_sqm,1049009,sqm,2025-12-31,"SEC 20-F (FY2025, filed 2026-04-16)",https://www.sec.gov/Archives/edgar/data/1508475/000110465926044361/vnet-20251231x20f.htm,"total floor area of OWNED buildings across Beijing, Shanghai, Jiangsu, Anhui, Shaanxi, Inner Mongolia, Sichuan, Hebei, Guangdong (some are data centers); plus ~421,185 sqm leased self-built DC facilities. Not campus-specific"
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),it_capacity_mw,1007,MW,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,wholesale capacity in service (907 MW at 2026-03-31; 674 MW at 2025-06-30)
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),capacity_utilized_mw,744,MW,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,wholesale capacity utilized (687 MW at 2026-03-31)
company-wide (all regions),all VNET data centers,VNET Group (NASDAQ: VNET),utilisation_pct,73.9,%,2026-06-30,"6-K / quarterly results press release (Q2 2026, 2026-08-18)",https://www.prnewswire.com/news-releases/vnet-reports-unaudited-second-quarter-2026-financial-results-302853949.html,"wholesale overall utilization; mature capacity 92.5%, ramp-up 36.6%"
