site_box,rank,classification,reason,chip,reviewed_on,review_basis
prometheus_oh,1,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,prometheus_oh_001.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,2,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,prometheus_oh_002.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,3,non_hall_ground_or_yard,Large cleared or paved pad,prometheus_oh_003.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,4,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,prometheus_oh_004.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,5,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,prometheus_oh_005.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,6,non_hall_ground_or_yard,Bare ground parcel,prometheus_oh_006.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,7,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,prometheus_oh_007.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,8,known_campus_overlap,Component overlaps stored validation halls; campus recovered,prometheus_oh_008.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,9,non_hall_ground_or_yard,Cleared pad,prometheus_oh_009.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,10,non_hall_ground_or_yard,Linear yard or cleared strip,prometheus_oh_010.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,11,non_hall_ground_or_yard,Small yard patch,prometheus_oh_011.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,12,non_hall_ground_or_yard,Yard between large buildings,prometheus_oh_012.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
prometheus_oh,13,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,prometheus_oh_013.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
rainier_in,1,known_campus_overlap,Component overlaps stored validation halls; campus recovered,rainier_in_001.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
rainier_in,2,known_campus_overlap,Component overlaps stored validation halls; campus recovered,rainier_in_002.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
rainier_in,3,unattributed_roof_or_industrial_complex,Roof or mixed industrial feature visible; data-centre identity not established from this chip,rainier_in_003.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
rainier_in,4,non_hall_ground_or_yard,Long yard alongside the known campus,rainier_in_004.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
stargate_abilene,1,known_campus_overlap,Component overlaps stored validation halls; campus recovered,stargate_abilene_001.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
stargate_abilene,2,known_campus_overlap,Component overlaps stored validation halls; campus recovered,stargate_abilene_002.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
stargate_abilene,3,non_hall_ground_or_yard,Large bright pad with no resolved hall complex,stargate_abilene_003.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
stargate_abilene,4,non_hall_ground_or_yard,Bright pad adjoining cleared ground,stargate_abilene_004.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
stargate_abilene,5,non_hall_ground_or_yard,Cleared ground inside a construction yard,stargate_abilene_005.png,2026-09-13,Visual inspection of annotated 20 m Sentinel-2 median chip; no operator attribution inferred
