hub_id,region,plant_id,plant_name,technology,relationship,campus_load_eligible,dedication_evidence,source_url,source_locator,source_access,monitor_url,enterprise_id,outlet_ids,outlet_labels,series_status,checked_on,notes
ulanqab,inner_mongolia,zhongjin_renewables,乌兰察布中金数据低碳算力基地配套新能源,wind_solar_storage,renewable_supply,false,Approval names the data-centre load and 200 MW wind plus 100 MW solar; no combustion unit identified.,https://nyj.nmg.gov.cn/tzgg/202404/t20240409_2491156.html,2024-04-08 notice I(a),http_200,https://sthjt.nmg.gov.cn/qyzxjc/PollutionMonitor/publish.action,,,,no_attributable_stack_series,2026-09-14,"Approved maximum load is a design value, not measured demand."
horinger,inner_mongolia,shengle,内蒙古京能盛乐热电有限公司,coal_chp,park_heat_cooling_electricity_support,false,Company annual report identifies cloud-park support and surrounding heat/electricity/cooling supply; no exclusive campus electricity share.,https://sthjt.nmg.gov.cn/qyzxjc/PollutionMonitor/publishDownFile.action?fileId=402861b59babb33a019bb04463b53c26,PDF pp2-4; 2016 reorganisation filing p119 confirms planned grid sales,http_200,https://sthjt.nmg.gov.cn/qyzxjc/PollutionMonitor/publishEnterpriseInfo.action?back=list&ID=B91752F8E785428E8900B78EA180D9AC&type=30,B91752F8E785428E8900B78EA180D9AC,,#1脱硫总排口;#2脱硫总排口,annual_only_captcha_hourly,2026-09-14,2019-2025 annual totals retrieved. No hourly/daily samples; CAPTCHA required. 2026 plan uses labels 废气监测点1/2; machine outlet IDs unverified.
zhangbei,hebei,,No dedicated combustion plant verified,unknown,dedication_unverified,false,Hub plan identifies Zhangbei parks and renewable direct supply/photovoltaic options; it does not name a dedicated thermal plant.,https://he.spb.gov.cn/hbsyzglj/c100756/c100761/202301/a4d2168913aa4dbabe461202d0ededd4.shtml,"2022-12-27 plan II(a), III(a)",http_200,http://111.62.218.180:9920/,,,,no_attributable_stack_series,2026-09-14,Search also found renewable demonstration projects; do not attribute regional thermal plants by proximity.
zhongwei,ningxia,zhongwei_mobile_renewables,中国移动（宁夏中卫）数据中心源网荷储园区,solar_storage,renewable_supply,false,Regulator describes photovoltaic priority supply and incremental distribution grid for the data centre.,https://xbj.nea.gov.cn/dtyw/hyxx/202606/t20260626_303639.html,2026-06-26 notice,http_200,https://222.75.41.50:30000/xxgk/,,,,no_attributable_stack_series,2026-09-14,"Green electricity claims and IT capacity remain sourced statements, not a stack measurement."
qingyang,gansu,qingyang_renewables,甘肃庆阳东数西算产业园区绿电聚合试点,wind_solar,renewable_supply,false,Indexed city notice reports first green aggregation units connected 2026-01-30; direct source download returned 403.,https://zgqingyang.gov.cn/zw/bmdt/content_343777,2026-02-13 city notice (search-index text only),http_403,http://125.74.7.100:8111/pollutionMonitor/publishmap.action,,,,no_attributable_stack_series,2026-09-14,"Provisional lead; obtain full filing. SASAC owner report also indexed, direct TLS failure. No dedicated thermal plant established."
guian,guizhou,,No dedicated combustion plant verified,unknown,grid_connection,false,"Guizhou Energy Bureau describes regional grid and planned substations serving Huawei, Tencent and Apple.",https://nyj.guizhou.gov.cn/ztzl/zsyz/201908/t20190805_28839775.html,2019-08-05 agency page,http_200,https://wryjc.cnemc.cn/gkpt/mainZxjc/520000,,,,no_attributable_stack_series,2026-09-14,2024 Huawei A4 220 kV EIA indexed but direct download timed out. Substations are not generators.
chongqing_shuitu,chongqing,liangjiang,华能重庆两江燃机发电有限责任公司,gas_chp,waste_heat_cooling_supply,false,China Telecom describes Liangjiang waste steam/cooling water feeding Huaqing cooling plant and data-centre heat exchange.,https://www.chinatelecom.com.cn/ct/news/yunjisuanjisuanli/154820.html,2022-06-21 operator page (search-index text only),http_412,http://119.84.149.34:20003/publish2_pub/dataSearchPub/entList.aspx,,,,no_attributable_stack_series,2026-09-14,"Direct operator request returned 412; EIA download failed. Physical cooling lead corroborated by operator text, electricity allocation unknown."
tianfu,sichuan,,No dedicated combustion plant verified,unknown,dedication_unverified,false,Provincial action plan supports the Tianfu cluster and renewable aggregation; no dedicated thermal plant named.,https://new.tzxm.gov.cn/zckd/fzgh/202411/t20241122_1394663.shtml,"2024 action plan II(1), II(15-17)",http_200,http://103.203.219.138:6666/hb/login,,,,no_attributable_stack_series,2026-09-14,Policy support and green-power trading cannot establish physical dedication.
wuhu,anhui,,No dedicated combustion plant verified,unknown,virtual_power_plant_demand_response,false,City-owned virtual power plant aggregates flexible demand and proposes wider data-centre participation.,https://gzw.wuhu.gov.cn/xwzx/gzyw/8927779.html,2026-05-09 city SASAC operator report,http_200,http://39.145.0.253:8081/gfwry/gfwryindex,,,,no_attributable_stack_series,2026-09-14,A virtual power plant is a demand aggregation service; no combustion source is established.
shaoguan,guangdong,,No dedicated combustion plant verified,unknown,grid_connection,false,"EIA acceptance identifies GDS cluster connection works within the 220 kV Tanjie substation, constructed by Guangdong Power Grid.",https://www.sg.gov.cn/zw/zdlyxxgk/dzjg/sgssthjj/hjbhxxgk/jsxmhjyxpjxx/content/post_2855829.html,2026-06-12 EIA acceptance project table,http_200,https://wryjc.cnemc.cn/gkpt/mainZxjc/440000,,,,no_attributable_stack_series,2026-09-14,No power generator is specified in the acceptance table; full campus thermal-plant dedication remains unverified.
